# R: 1.000000e+00
# Number density as a function of    z
# 250 species in total
# Species list has 36 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+        H[m1]        C[m1]       CH[m1]   
#    O[m1]       OH[m1]       C2[m1]      C2H[m1]       CN[m1]       C3[m1]      C3H[m1]   
#   C4[m1]      C4H[m1]       H2[m1]      H2O[m1]       O2[m1]       CO[m1]      CH4[m1]   
#  NH3[m1]       NO[m1]       He[m1]      HCO[m1]        N[m1]      CH2[m1]      CH3[m1]   
#   NH[m1]      NH2[m1]       Mg[m1]     C2H2[m1]      HCN[m1]     C2H3[m1]       Si[m1]   
#   N2[m1]      SiH[m1]     SiH2[m1]     H2CO[m1]     SiH3[m1]     SiH4[m1]    CH3OH[m1]   
#    S[m1]       HS[m1]      H2S[m1]     C3H2[m1]   CH2CCH[m1]   CH3CCH[m1]      SiC[m1]   
# HCSi[m1]    CH3CN[m1]    CH2CO[m1]      SiN[m1]     HNSi[m1]       CS[m1]      SiO[m1]   
#  CO2[m1]      HCS[m1]       NS[m1]     H2CS[m1]       SO[m1]      C3N[m1]     C4H2[m1]   
# HC3N[m1]      C3O[m1]      C2S[m1]       Fe[m1]      SiS[m1]      OCS[m1]      SO2[m1]   
#   S2[m1]      C3S[m1]          HNC         SiO2      HNC[m1]     SiO2[m1]          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
#  gr1(2-)       gr1(-)          gr1       gr1(+)      gr1(2+)   
0.000000e+00 7.028557e-19
6.284357e-19 4.137686e-11 3.222079e-18 8.819088e-09 1.749152e-02 3.168798e-17 2.144976e-23 
2.675204e-13 2.943890e-13 2.391629e-15 2.767028e-23 1.634124e-21 1.238214e-07 7.895609e-10 
4.301001e-12 1.258711e-07 2.721873e+00 2.069256e+04 4.285224e-08 2.894421e-02 6.207796e-14 
4.313899e-04 4.903942e-07 9.840289e-02 4.926243e-19 3.874756e-15 2.643920e-23 2.754542e-14 
7.742839e-15 3.724636e-12 2.886937e+01 2.983633e-06 6.953254e-07 6.746956e-21 9.837096e-14 
1.305247e-03 6.417679e-09 3.020687e-09 3.547541e-20 3.665716e-11 3.829946e-10 1.087146e-04 
2.357758e-11 6.128874e-20 2.473853e-20 4.132467e-07 3.736154e-06 4.560134e-06 7.306211e-15 
1.156462e-14 6.271844e-06 2.695928e-18 1.775582e-07 7.480169e-11 1.059949e-07 8.460261e+00 
7.431672e-01 8.708144e-18 4.342871e-12 8.572272e-06 4.801844e-04 1.768324e-06 7.950186e-02 
6.961257e-03 3.278538e-07 5.904732e-03 1.421635e-01 4.966369e-07 2.268619e-16 5.932847e+03 
2.836563e-16 3.745495e-03 2.484950e-08 9.530837e+09 1.147694e-19 1.429420e+02 1.058153e-07 
4.290399e-13 3.289905e-03 1.042923e-05 8.695378e-11 5.948497e-06 4.884625e-15 8.870220e-09 
4.365826e-14 4.386334e-06 1.101025e-18 7.097996e-12 5.384653e-13 7.694259e-14 1.480634e-13 
1.558326e-10 4.688979e-05 1.136005e-07 2.360573e-07 1.801662e-09 5.884120e-01 1.878753e-07 
1.725340e-12 1.046489e-05 3.498055e-05 6.651675e-07 2.591349e-13 9.177619e-12 2.870947e-06 
8.906167e-16 6.820025e-14 3.895400e-09 2.103628e-10 3.913848e-15 1.607680e-04 1.211264e-17 
7.443939e-02 1.162660e+01 1.005014e+03 1.103853e+01 7.251380e-02 
5.000000e-01 7.424196e-19
3.596228e-04 7.843860e+11 1.503884e+01 3.036080e-10 5.216771e+04 3.253275e-03 8.213266e-03 
4.563104e-12 1.940257e-09 2.247686e+04 7.066200e+00 4.528221e-02 6.186036e+01 2.461687e+14 
2.111594e+11 1.188631e+05 1.562892e+11 4.131248e-01 3.667331e+02 5.514001e+05 4.812054e+13 
1.326354e-10 8.213793e-02 2.326672e-10 1.333510e-01 5.339942e-04 8.879962e-04 4.935438e+07 
8.667354e+04 1.456799e+05 8.183941e-15 2.509484e-03 2.763803e+10 2.584608e+01 2.368206e+00 
8.035557e-09 6.234982e-03 1.237539e-02 7.042283e+02 1.839318e+02 1.074680e-07 2.760317e-11 
6.873630e+02 1.314794e+03 2.045677e+05 8.885435e-06 8.781101e-02 1.050402e+02 2.276472e-08 
1.846517e+02 4.904998e+02 3.883822e+04 9.159357e+09 4.563705e+09 1.998655e-11 1.861164e+00 
1.723214e+05 1.504026e+07 5.879637e+03 7.203051e+06 1.603902e+05 5.372978e+03 9.201666e+03 
1.233860e+07 1.716299e+02 2.354218e-06 9.111343e+09 4.644877e-05 3.956199e+06 5.642015e-09 
6.518324e-08 3.794158e-16 1.224346e-12 1.698601e-11 4.933765e-16 2.174095e-15 5.308625e-17 
1.627981e-16 3.155629e-11 7.621347e-15 3.167853e-13 3.446793e-10 8.746704e-11 3.057130e-08 
3.228761e-12 3.597339e-15 1.215758e-08 3.822253e-08 5.958580e-08 7.067256e-08 8.663866e-12 
8.554480e-15 4.149055e-09 4.240567e-12 1.991879e-11 1.765312e-05 4.235957e-13 9.867609e-17 
7.877337e-12 3.633215e-08 2.138047e-12 2.667897e-16 1.056142e-09 1.945006e-16 2.025827e-12 
6.016298e-24 5.463303e-13 9.869822e-06 4.501129e-11 7.373950e-11 1.220390e-09 6.272126e-11 
1.775656e-09 1.113250e-19 1.879630e-12 3.672649e-20 5.143176e-08 3.609543e-12 6.195499e-17 
3.572193e-15 2.237359e-12 1.404096e-13 1.090816e-07 2.089048e-14 1.900704e-07 6.878761e-05 
7.369008e-17 3.223318e-06 9.817344e-14 7.719029e-19 1.479331e-18 7.415311e-05 3.855641e-15 
7.855164e-19 4.329849e-11 3.668317e-18 9.188274e-09 1.451761e-02 9.299153e-17 1.997461e-23 
7.665077e-14 2.460815e-13 6.687609e-15 2.639696e-23 1.579844e-21 3.357530e-07 7.308431e-10 
1.204588e-11 1.127763e-07 2.256503e+00 1.719797e+04 1.039909e-08 2.405098e-02 5.075889e-14 
4.096829e-04 4.489746e-07 8.157886e-02 4.682514e-19 3.342948e-15 2.459927e-23 2.253326e-14 
7.367083e-15 3.544671e-12 2.393355e+01 2.542679e-06 6.126224e-07 6.416356e-21 1.012281e-13 
1.082087e-03 5.745914e-09 2.643405e-09 3.379164e-20 3.483480e-11 3.453008e-10 9.122081e-05 
2.346450e-11 6.080685e-20 2.353255e-20 3.576225e-07 3.428553e-06 3.934737e-06 6.931492e-15 
